"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
444,4,3262.189193,8339.8969332,348.2721123,135395.3451848,1324.7604566,275.8113504,147.8372044,9.7912523
445,4,3150.2393737,9581.6411846,185.2660925,40550.020711,3184.7195496,282.4989872,124.0692246,9.7455677
452,4,4100.8585467,12066.539261,144.8794155,69011.0848969,4471.9655495,507.0782664,267.5841895,6.4328531
459,4,4324.5933889,14019.4681722,486.8567695,246263.3219991,1893.0487246,170.1818999,47.1795272,6.5301199
460,4,4531.1885987,17849.9791835,381.4778059,176544.181217,1462.0852697,251.9088812,106.6530524,8.2331301
466,4,5030.8826168,8383.7890244,2.7250995,2879.135018,4333.2084557,235.0192768,90.5148859,4.5147448
479,4,6281.0957166,10824.0888313,619.7682866,746511.757004,144.8592704,312.6976053,133.7295056,6.3450703
482,4,6361.5364424,8836.8565287,108.9074069,16230.8847744,4078.5398507,303.3385556,140.0960213,9.6937084
486,4,6581.9703134,16382.2501722,9.8351925,3567.3462987,4960.1119874,272.3262782,95.8483381,4.4806307
492,4,7468.1611834,3752.4848141,129.8973732,34788.251322,4276.9755438,473.5627924,292.9806579,9.70623
496,4,7330.242716,16036.843408,553.7546826,473362.0119599,1132.4734386,212.0472935,66.9864536,5.4645871
502,4,8028.5509127,14557.1603277,111.1733342,20710.5780856,5236.2936081,306.4365536,113.3050155,7.9754914
506,4,8412.3095316,13401.10139,305.891555,107728.722101,3688.106629,225.2397138,59.9508659,7.8121786
513,4,8897.0971403,13830.2029778,314.3699171,113252.6091967,3329.6497311,243.6532733,72.4800628,8.4683477
522,4,9377.0347064,4789.8497318,249.1075218,67291.7624093,4113.6086607,250.8268683,74.5165017,9.2769306
532,4,10177.6532987,8913.2484636,140.587168,19399.3190606,4144.8882482,202.3919796,58.530639,8.6833869
539,4,10576.575099,12113.6227646,10.9206698,2030.0141892,4646.3360652,327.5736324,152.884495,9.5109651
541,4,10641.2461756,21225.5918603,169.2617887,47825.3495925,3907.0866059,337.4681456,156.8362045,8.3013686
546,4,11097.5385357,18414.992007,164.6163823,43198.8251699,5319.9527747,344.8832425,120.3274418,8.9012896
550,4,11426.895934,8209.1902572,111.9116697,17518.5038969,4268.0074406,294.8861681,124.1965493,9.1741103
554,4,12139.0871091,21313.2911617,46.5017065,3761.0484442,3990.2511167,264.9063966,121.1872523,9.7973088
559,4,12684.8793737,3947.7241214,379.4790798,306350.9276492,494.40668,283.3232648,109.0827914,5.3022223
562,4,12863.6620955,15513.3930496,186.9869536,98203.9308258,4607.3220757,413.2578958,143.1914359,5.9975993
564,4,13351.3150036,18994.9268797,155.4749399,114655.1200047,5156.2348349,631.9820363,292.9560386,5.5096507
565,4,13494.5328206,11357.0312575,212.3320416,149742.551374,4867.1374165,738.2438246,415.9588291,8.9334256
566,4,13471.5993014,13087.6876887,136.8575304,74157.6547072,4987.6618799,552.4318852,263.3510869,5.8634113
567,4,13665.1019563,5298.7537279,144.7039,55847.4482756,3366.5484851,314.6992215,121.1566312,4.9582097
572,4,14506.3891719,6372.453953,112.9679537,34196.3915027,3440.620512,288.2558444,145.434558,4.7101657
575,4,14630.7877378,9516.6134438,459.7228286,227336.9573135,1964.8253777,198.7873213,63.6069417,7.3383089
581,4,15300.1685565,7944.1810998,134.344045,45931.1885661,3562.2834564,353.5886952,173.818603,5.8760587
600,5,3142.8642935,9592.0155139,127.1180346,23563.6082395,3671.6420593,319.5038842,175.2287209,9.3139935
604,5,4020.9975791,15225.7856291,475.0297279,293836.8939469,1268.4945425,248.3446088,101.6584962,7.5449615
605,5,4102.0943994,12080.4828116,140.5643678,64065.4001438,4679.0413118,533.3268316,280.6805113,6.8818431
633,5,6461.9987371,1464.557057,249.8054877,48222.6724355,2485.4279588,177.3533296,63.4963658,9.2399429
635,5,6388.8366414,8823.4343723,122.9138401,18730.7896565,3878.2142569,273.2467127,116.1403324,9.4311264
638,5,6505.909343,19638.2227091,367.9087182,114357.1150871,1782.1967384,200.2583736,80.2034322,9.4147641
642,5,7157.6906192,17699.4610149,431.7214151,301477.4452345,1589.2005017,305.7282355,126.1086433,7.4714259
649,5,7472.8176633,3761.0154134,119.298343,25021.6799322,4305.3477316,360.4468482,182.6132248,8.8044954
660,5,8360.1561624,19159.731807,564.9064093,443058.1392169,1318.0786236,202.259532,62.556469,5.7931894
663,5,8904.9335981,13944.2073939,429.876484,447984.3468228,112.7619537,227.6674893,66.1929318,3.7717297
668,5,9140.1546568,20950.2756723,146.8447681,20448.3361049,4103.339175,198.8559001,57.501047,8.7829534
673,5,9356.587135,3354.8335025,601.5332647,682490.3630598,239.42877,239.985233,83.9264213,5.0539183
689,5,10677.1476725,21275.8735294,152.8883019,36367.6778217,4016.5509382,243.2087365,79.5749828,6.5247333
697,5,11981.5110161,5150.5853373,413.7788725,183500.1619681,2159.608346,258.9778257,101.1154317,9.5509021
707,5,12664.4992912,3924.3924541,130.8004429,15397.1878692,4201.0388461,197.1966628,56.5236834,9.3160456
710,5,12857.8283267,15499.4774721,186.2587699,81800.8381369,4909.5636482,421.2550643,157.6071489,7.2724571
713,5,13370.770624,18991.9134286,163.9735409,126326.7011518,4651.3667672,625.9699547,306.5015634,5.4796576
714,5,13497.9118255,11360.4441431,178.0946805,110016.527585,5733.3734012,685.8456215,336.9222039,8.0521301
715,5,13460.0531122,13094.7336386,142.8458295,75392.6331447,4797.8918263,531.4895084,260.386551,6.0112843
716,5,13632.007734,5299.0333591,109.2966326,35696.9537075,3962.2857798,309.5446676,127.118579,4.5631145
718,5,14074.1082434,13830.4696627,71.5562521,7107.7788742,4944.1948061,277.1819139,108.1463431,9.9403199
722,5,14505.6596344,6386.1619834,113.509867,35495.5610061,3345.572242,379.9134289,222.1427745,5.9935168
728,5,15268.9691309,7928.0109768,148.209592,56281.6849108,3260.6337422,325.4005818,138.4330356,5.3139827
743,6,3128.8900924,9607.3918544,132.109453,28105.2970386,3458.4808568,333.7980929,161.9750389,8.7610192
750,6,4112.9048992,12090.809901,132.1326046,53463.0817569,4772.2412712,605.1546638,378.3376618,8.3262165
778,6,6383.8332718,8827.5958163,102.5940613,14640.3999517,3979.4146904,260.8549787,110.2518604,8.332006
782,6,6584.7528363,2926.3947957,514.2554044,327802.0101752,1766.7565324,244.2820576,90.2914598,7.7882299
784,6,6569.0134716,13250.4371114,388.9182211,173779.4030186,1819.4125541,240.7265092,92.8903918,8.3079253
785,6,6623.7355628,15118.2605853,561.2848707,621748.2584448,548.9858439,315.7390865,136.1066046,6.3137892
793,6,7454.7051894,3793.8751256,105.4764723,22854.7473282,4393.3693038,306.2575855,126.6973811,6.586951
820,6,9631.3212342,8007.799413,168.3710353,31732.7019228,3684.0770922,255.4432559,101.9542258,9.3877696
830,6,10676.4576048,21278.9718968,147.9743807,45631.5993831,3921.5633263,301.3861381,122.281118,6.0484902
835,6,11092.081539,18388.1827009,177.1734156,46821.0091446,4916.1570657,363.0110364,148.583127,9.9362222
837,6,11442.121205,8224.9411693,104.3453004,15524.2407109,4416.9278289,284.8971808,115.440581,8.830837
848,6,12124.2426848,21300.0693229,67.0518648,5434.7944199,3714.5289831,208.4008674,82.1299534,8.8709087
851,6,12633.4546075,12636.4585957,14.6397617,2815.2224384,4938.9188884,300.7246947,127.9459308,6.719018
853,6,12868.8301012,15530.9831233,179.0555094,86364.3877815,4650.1252801,394.6832186,146.0103734,5.9955807
856,6,13354.2439325,18985.4921728,154.7777124,114109.8825679,5002.7982928,703.6458884,362.9942394,6.1042909
857,6,13509.5209779,11380.5482929,190.4438425,123871.0772578,5038.3946563,766.3975335,451.8142897,9.0826653
858,6,13473.8437722,13077.7206203,137.9613712,69803.5101992,4941.4934631,421.4834286,173.3416982,4.8434113
859,6,13637.9498393,5324.6403435,119.0436358,37702.2239025,3746.4964009,323.379171,124.5354476,5.2532734
861,6,13527.3041102,21503.6430913,429.4688705,187802.3943044,1743.6525145,202.163824,66.8755154,7.8816136
867,6,14378.6944015,20406.440458,510.7731001,518969.2134523,761.0167385,307.2071179,124.865481,6.104499
868,6,14502.5374966,6388.7614255,115.8098466,36631.5862966,3180.1866359,165.1757606,48.5723589,2.7214619
877,6,15262.7763572,7945.4023874,143.4076854,57959.3602599,3160.3851263,353.9124214,157.6485542,5.2709063
898,7,3136.8679688,9604.1843541,139.5904739,30646.8806176,3258.6151828,267.1577948,116.7701925,7.1525159
900,7,3356.5851995,14156.158956,357.390178,189938.6921914,1357.8722766,342.083787,197.4163086,9.1008685
904,7,4122.087397,12088.0221514,142.4220175,66510.5829172,4559.664805,591.0364483,388.2644231,7.5209302
913,7,4877.3544253,17507.2440009,531.6764858,410391.5302019,1136.8318625,296.787765,134.6427987,8.0570872
930,7,6391.5676173,8823.404936,120.0120646,23119.2498931,3765.8580207,261.9133579,96.080747,7.0347457
945,7,7463.8363015,3800.4062265,111.4629205,28992.6939406,4143.983254,222.3234704,56.6132301,4.2127817
953,7,8039.0175285,14568.2506042,150.7965098,37430.8425218,4295.1490621,323.4099474,137.7866017,8.1686198
958,7,8255.0485123,13476.9738162,429.9642424,226574.0308209,2775.2417675,228.2058512,69.7146283,7.3858132
966,7,9185.4988968,11153.4318404,462.684162,395365.7235119,817.3498309,338.6759349,162.3207653,7.2372254
984,7,10430.2040709,16934.15552,577.1150979,424241.5855844,1716.2556411,263.4720299,104.2829283,8.1547252
986,7,10655.8552802,21257.0306439,132.1751693,31645.0079269,4330.1835162,407.1912497,208.1667274,9.4833844
990,7,11085.4221507,18412.3461785,201.1372242,75943.7269762,4265.1914225,412.7287766,171.0463748,8.8903927
993,7,11420.139774,8228.474613,110.030663,17180.0859814,4254.6701517,277.9372889,112.7215155,8.5620053
999,7,12049.7146223,6366.6559417,584.0369554,446538.8637806,1816.9340794,222.5131593,67.3195078,6.7300153
1012,7,12873.5332099,15523.3729487,170.49431,73720.3275631,4670.0836448,571.2784831,311.1362541,9.2100365
1016,7,13347.8563738,18966.8345441,162.6399008,131408.9630457,4283.3547676,718.0324864,392.1949526,5.9419344
1019,7,13444.8820623,13078.6953898,125.1528346,63388.4301838,5351.9402868,533.9316663,296.0492487,5.6221411
1021,7,13640.9540077,5319.635227,134.8582271,49519.2573012,3522.0803054,282.6280275,92.4849266,4.4181998
1027,7,14514.1890641,6386.4560702,120.8837302,35055.5022823,3275.8549387,253.3409468,94.5456725,4.5790296
1034,7,15267.1376625,7947.838326,129.606003,50462.903449,3284.2206525,336.5383896,146.5354559,4.7775568
1041,7,15987.29807,14976.3799431,314.0427409,94498.3125911,3203.3581494,233.4144029,75.8759267,9.6935138
1049,8,3154.5558893,11420.2160627,452.7894373,225731.0267809,997.5137118,183.0632858,66.4744051,6.6235694
1051,8,3131.9995057,9584.3166997,105.3897297,19138.3193863,3769.7876379,364.6805122,184.5969056,9.3118525
1054,8,3809.4283859,16284.6211565,447.6294133,243786.3893224,823.0573831,305.2575469,187.4356478,9.8894885
1058,8,4094.5864473,12103.0589576,146.1916038,71433.8829918,4424.5032873,454.9798711,204.7444983,5.6813135
