"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
811,6,11695.6988519,9787.5975758,97.5654597,25128.1398167,4551.0590261,325.6355877,146.5463086,5.5591902
822,6,12889.975127,13295.7806415,596.9616976,574906.9625619,839.2056277,275.9654701,110.0237274,6.7525993
827,6,13279.5421829,8253.1623298,7.8209727,2060.000197,4742.8803654,317.2622806,151.1085188,8.7349525
828,6,13297.5347068,9410.8352615,120.1997931,14323.20244,4093.5987025,199.3312389,61.594856,8.6731448
830,6,13452.9343648,4819.033874,337.5833658,166863.4060659,2517.3911886,368.1455866,173.2057839,9.9495608
835,6,14450.596307,8757.5535485,454.7854164,322991.2800756,1461.4363288,285.8543167,115.4677369,7.2376543
839,6,14983.9920525,6024.3556422,534.1795077,342905.6936807,1524.7848977,281.1492157,133.6104907,9.2139715
852,7,2135.0097471,16804.4808153,141.5587072,80203.5900691,3161.3279894,491.1187485,297.2317684,5.1430958
854,7,2751.1835742,18079.4091264,370.0057062,113480.0339444,1590.2131199,168.8535974,59.7730394,8.1253104
855,7,2923.9921163,5022.8822231,501.2379134,347756.4234975,10.3523095,213.0650605,100.031577,6.1169387
868,7,3999.4742796,6205.6309373,14.0179638,2772.6959089,4623.056787,250.1409075,96.2456714,5.6376895
871,7,4236.2829447,3920.4579477,402.2897754,197727.2786775,1314.8621852,269.8336916,134.2413844,8.7373544
873,7,4547.2654649,5944.01132,513.8894012,491605.2582441,299.7323422,312.6921471,145.3731162,6.6318156
880,7,5250.1521899,4467.5449099,125.4061146,53992.1623012,3862.6138189,441.7019081,215.5312827,5.4902339
882,7,5181.8590024,19666.4501455,145.2086719,92447.5324829,4357.4977018,464.6872233,187.12224,4.4366779
884,7,5521.5323307,5735.5020748,526.5297901,459376.5343664,1011.7007461,168.7850908,41.6852327,4.1054919
885,7,5854.5120277,2111.6783862,248.9787813,66980.2725165,1796.584064,266.608821,131.5795171,9.885589
889,7,6086.6625972,12312.0181829,149.8572736,103579.0891707,4874.8857057,569.7025334,269.7797382,5.1349847
896,7,6814.5488506,14785.8000263,228.5841703,93671.1684904,4216.3042948,430.0759529,187.5506292,9.6214366
898,7,6987.1961272,6733.5570715,164.530976,31277.1676843,3674.741469,269.0501909,102.1603092,9.5943521
901,7,7369.1967656,11925.9613811,244.8432205,164512.1001778,5606.9726487,630.5473238,269.2278926,9.1707763
905,7,7925.6267327,5398.4332837,114.028417,28350.9704615,4437.741584,292.6738533,106.190647,5.847095
913,7,8313.3128973,2198.5529384,126.1680115,23382.6931147,4310.380925,327.0468811,146.1721163,9.4731348
923,7,8948.279271,17314.473236,593.0302018,573899.7516709,970.4756282,291.2014595,121.903891,7.0370889
930,7,10070.8212608,4294.5031161,502.4839041,527785.2436211,742.102346,395.6228151,204.2048545,7.4508768
932,7,10041.655729,18094.580934,447.1947781,240079.1064195,694.1207986,304.2374095,184.6081796,9.988868
942,7,11266.141925,4574.3624246,448.5459274,282365.9291298,2571.3544203,322.4808392,123.65151,9.0589527
944,7,11439.2714171,5920.6684238,113.1783667,30480.0191993,4762.9670414,374.0670902,174.672145,6.8290372
945,7,11428.1129735,13061.5564594,390.5478082,175818.6047294,2262.6641,278.9073974,108.6590271,9.5669197
947,7,11699.8887495,9807.7858694,129.6197805,34010.8631584,4181.5426356,266.691586,105.448473,5.6239892
948,7,11804.1012691,15500.8077031,142.6702723,23265.0486609,4138.0586765,255.0475836,95.9760347,9.3482383
952,7,12384.3296615,8520.0207686,9.9125654,1566.1904693,4603.6475876,210.8829185,69.172178,7.8737588
962,7,13157.5413226,10494.6342465,95.8036886,8726.9669655,4471.7395828,180.4928679,48.1535701,8.6122272
986,8,2137.9600187,16785.078145,145.1531352,85820.0429298,3172.6428645,524.5329766,311.335155,5.3755964
998,8,3741.4008127,9546.6063958,0.839362,2295.522123,4921.2317082,225.6222307,73.1347699,5.3957255
1013,8,5176.3418622,4469.6680035,110.2108414,44374.9895155,4185.3426671,323.0352727,150.4484499,3.8957296
1015,8,5280.0437027,13784.4312885,241.9909707,53636.6786876,3929.7522556,165.6686017,36.0076301,7.326477
1016,8,5188.3648596,19657.2981941,157.7438343,107366.8641325,3960.2098325,520.9364496,258.5244617,4.9952884
1021,8,5920.5311502,2088.9736317,271.7603517,88305.9632982,1357.3488857,279.9152845,161.9018693,9.3466616
1022,8,5927.1590942,10791.7150733,645.4460024,879114.6046143,0.0001517,257.7834083,87.3227568,4.847338
1024,8,6090.4294832,12325.3019514,142.2407406,82054.1924804,5107.7483699,545.4446846,282.1579296,5.6250041
1033,8,7005.7880823,6766.5784728,116.5220306,19780.0579012,4083.1309172,231.8968741,79.6521266,6.9116287
1035,8,6974.4095325,17632.7631599,192.6892627,35809.8839744,3556.7920289,219.4649099,68.1202313,9.2727228
1039,8,7359.9472022,11925.7160905,228.137442,159633.2210339,5384.3230903,704.0858776,334.0438935,9.1900666
1045,8,7924.3502202,5421.1675168,130.9586025,33512.6591872,4543.1621174,316.7781176,131.9199857,6.8782931
1051,8,8278.3889979,2161.0803841,123.2135374,21006.1213558,3975.1881708,220.3913874,71.2240505,6.8540865
1058,8,8867.5655658,13530.0545923,148.0451641,41673.7653243,4835.6444523,437.4759365,206.8207213,9.5572474
1065,8,10072.9312289,4348.460296,329.2212059,123810.1082716,3478.6250027,218.1721682,57.9802691,7.6171333
1073,8,10764.387365,8337.8120747,701.4800018,826155.7711476,0.000102,218.280295,79.4992978,5.1659947
1077,8,11445.033679,5902.4775435,98.3312662,25183.4303825,5053.0253161,400.1741998,194.5203466,6.881941
1081,8,11582.6389025,3613.8798304,431.1175018,187826.9693856,2305.8798796,196.6592486,58.8396015,7.729635
1082,8,11712.8143027,9790.3981914,119.3177446,31611.4399818,4376.3625188,231.421656,71.0942521,4.5383987
1088,8,12783.9153006,4200.672527,523.3908328,506375.674719,406.1324547,250.8160686,97.9567113,5.3862969
