"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1097,8,10740.7881724,13348.9185644,394.0258949,169956.9764016,355.6764922,134.3341674,48.1738527,4.9711402
1101,8,11092.8345292,22187.7385505,116.6382334,20918.1446674,2531.9359993,227.0936896,105.8480717,6.4204749
1112,8,12666.8652137,14028.7064044,191.4668745,71890.937345,2502.4729198,410.4350212,234.5112291,8.4946353
1118,8,13450.8975137,1290.7740933,126.0898406,26846.9763089,2494.0582584,229.6617772,93.3765235,5.8409704
1119,8,13625.2550996,11277.8639846,447.5328512,243406.4469427,486.9526021,160.8695705,56.3817813,5.3138102
1128,8,14699.5648991,16516.1531408,126.4341294,26509.6384138,2525.6428798,265.7511549,151.5146683,6.8499013
1129,8,14679.6309141,21349.1290805,103.0854121,7994.6483624,2009.9722378,156.0559351,79.9798921,9.2524515
1150,8,17009.7037039,2260.217261,169.2711765,58167.921779,3329.5200334,406.6819336,208.0266684,8.2156942
1154,8,17324.0875456,7412.9871305,137.4508152,31611.3698429,3107.0494801,337.2619735,181.8522412,8.4731066
1159,8,18072.332654,16562.5986047,105.7927587,16703.7831012,2395.8265244,117.701712,31.4665804,3.6241841
1164,8,18476.7836739,10997.044717,620.6408161,528532.9955216,0.0001297,197.064141,80.3691182,5.7113829
1183,8,21140.1040873,9177.3766885,92.7763524,8590.8613517,2595.0578805,200.7516274,96.7683721,9.1845712
1185,8,21406.2633522,7030.3979071,112.5015375,34274.5902123,2743.4263123,253.9840719,116.9077019,4.1293614
1192,8,22486.6221349,5646.8323335,134.0609437,24224.1042071,2826.5036785,237.2154521,110.1403297,7.4590717
1200,8,23974.6187645,14491.6557027,116.0542259,24299.1957652,2092.7887951,203.3460363,91.5777195,4.9374826
1214,9,3867.9641898,17674.6968544,8.3818491,2102.415136,2945.0574581,225.0335202,116.2078921,6.1571199
1224,9,6808.7726474,11849.7765611,241.5235665,61956.3715567,1807.0637637,224.7723754,97.2920308,8.5168393
1230,9,7831.6808062,11333.3144342,175.0277554,22968.615472,3174.3530345,166.3530815,50.1602505,9.1435794
1245,9,10335.9761048,21581.3621194,137.1174679,35174.0075489,2800.0914056,373.4154112,233.1410665,8.3875113
1260,9,12665.0651162,14015.9247691,171.3391622,53609.1175775,2847.8625253,343.254594,170.3077118,7.7136782
1266,9,13433.2569959,1291.4261269,110.8246744,21506.762654,2735.9881689,195.6689379,80.8340321,4.9432845
1268,9,13726.2805377,11301.3591553,520.2905482,260185.2074833,935.1354464,233.3580519,126.9850585,9.5772126
1274,9,14721.2261997,10813.0509503,526.3174898,371738.9093833,0.0001778,204.0085712,93.9367376,6.0437605
1275,9,14723.5332929,16530.8149848,107.5919928,17346.4627261,2864.6203297,258.9797391,145.5842532,7.6052439
1278,9,15274.5346843,24524.3464998,534.7968944,231276.5855425,212.7229067,128.1388772,51.7441355,6.3561061
1292,9,16998.1108946,2290.7424102,159.5021716,58114.5525657,3273.9743303,444.3191872,191.5782057,8.020406
1296,9,17310.002712,7456.7156075,112.3409432,24142.7034834,3354.7430385,215.9742306,83.6349911,4.9698199
1302,9,18095.5076974,16595.582976,107.7353795,17099.1128084,2486.4111487,193.0760796,82.5184745,5.8139737
1320,9,20286.4702065,13017.4827662,441.7762065,187855.4954011,778.1914522,205.3048832,102.0630519,8.454031
1330,9,21391.1146566,7061.7280411,110.989189,33711.0059769,2704.1374327,287.6306427,177.3261799,4.6199029
1333,9,21687.6601309,2985.8574888,149.1682863,18204.9399719,2072.9359053,178.7036717,79.5825929,9.1391337
1334,9,21923.7182206,5674.1625164,8.7518296,2072.1094616,3222.1610565,261.2681456,154.2955907,7.2538624
1338,9,22488.3104992,5625.3148143,125.9310564,25666.5273457,2635.1738155,326.7986011,217.4507132,8.6001005
1339,9,22644.6731125,15658.8081646,470.1719098,158747.300263,732.5267552,179.3690479,97.805274,9.8892131
1344,9,23955.0491183,14478.6219062,119.6185021,26113.1871794,2007.7778146,202.8490745,133.1965687,4.8446961
1350,10,2838.1930607,22057.7667308,5.3662929,2498.7925844,2524.5955824,242.2354256,160.9771822,5.4224316
1372,10,7889.4900642,11394.7418052,397.4879837,210303.4109377,1134.6024758,195.1790905,68.3466457,5.8595116
1378,10,8810.2926542,17902.3141548,88.2850297,4949.6600218,2999.3012284,128.2487024,36.0454684,9.4137581
1387,10,10353.6229974,21621.2234397,125.8270687,31515.2705209,2827.728205,199.4978733,78.7694854,4.344081
1394,10,11099.9201607,22224.6542925,146.3360985,30068.0429835,2413.606347,292.1072432,170.5689864,8.6830857
1402,10,12654.9199409,14033.7605561,153.5224014,41022.5877123,3306.4442,322.6854486,140.2507933,7.6964744
1408,10,13424.2364523,1279.5755411,109.7054044,21145.9753319,2749.0484081,286.9262869,141.6095293,7.1536206
1411,10,14062.4332208,16769.5964419,6.7145302,3029.9564451,2786.7858285,223.0804108,115.6660672,4.1935832
1416,10,14679.3363007,21363.911206,93.4448687,6460.4861992,2014.9038282,150.9752215,75.3698071,9.3333697
1418,10,14753.3443347,16535.9131509,124.959848,23796.7745473,2631.6433739,259.8719648,134.9486251,7.2992559
1434,10,17006.1498631,2282.6436029,152.7707844,43240.5108918,3687.8542017,362.1491608,169.5433804,8.1080678
1439,10,17293.3482541,7395.4528057,120.9001548,26893.290178,3213.8349441,295.6089597,156.6497923,6.9100135
1441,10,17875.0358188,4376.7878861,7.6430171,928.085301,3123.3573495,137.4943401,41.2169337,8.4779292
1442,10,17869.3422847,14953.4173405,727.5894559,475353.2959572,569.8465781,175.8678653,79.4416326,7.7548864
1445,10,18113.9496037,16557.594722,106.5743415,18262.6885514,2398.7629179,236.4211977,113.6860897,6.503812
1473,10,21380.1129626,7082.6499597,103.9741761,27464.1815314,2936.1287402,299.5196504,156.5779068,5.242152
1481,10,22500.2573429,5651.8184383,117.8741468,22285.2613257,2686.0431839,348.4229452,242.9577794,9.3475279
1487,10,23945.8233651,14485.7141332,119.1230839,26068.0216965,2051.4181321,174.9638189,74.8301567,4.1858452
1497,11,3598.2504579,19287.9654017,561.0622395,364433.1978389,0.0029019,163.679423,67.8681956,5.6505444
1507,11,5417.9850645,24639.9426392,0.9998007,1527.4482076,2718.096765,221.8424781,124.0368518,7.9309354
1513,11,6798.9700879,11817.6144088,136.3778579,14077.0795611,2885.491757,177.9794413,63.1579168,9.9421516
1531,11,10339.7808959,21623.0657483,113.9405931,26683.0421056,3044.3514086,236.0151908,98.1818746,5.0311141
1538,11,11111.6998252,22201.0639055,135.7141896,22542.8898179,2534.679442,181.5778604,66.4505064,6.3188019
1544,11,12266.521647,10997.6552809,29.301568,1791.4410329,2785.1571916,166.2657991,69.0081055,8.2291538
1552,11,13429.7093739,1270.3295532,108.0475171,25184.6186819,2600.6285511,239.5820485,133.6537073,4.919066
1574,11,17031.2394066,2281.6854289,177.0925388,65944.2556653,3082.7335211,353.5700145,159.8436393,6.8854101
1577,11,17297.4937169,7415.5390425,117.3375999,24192.3871649,3479.6831126,337.9096464,191.5495594,8.2909117
1583,11,18117.1625302,16548.153182,110.9208075,19411.6397461,2343.2246125,252.5174116,159.2230453,7.007171
